scope_type,scope_id,chapter_name,note_number,note_text
item,12.09.10-12.09.30,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",,"Notwithstanding paragraph 5 of Article D-05 (De Minimis), paragraph 1 of Article D-05 applies to non-originating timothy grass seed of subheading 12.09.29 when used in the production of mixtures of subheading 12.09.29."
item,12.10-12.14,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to seaweed or algae, fit for human consumption, of subheading 12.12.21 used in the production of other seaweed or algae of subheading 12.12.29."
chapter,Chapter 13,"Lac; Gums, Resins and Other Vegetable Saps and Extracts",,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 applies to non-originating saps and extracts of pyrethrum or of the roots of plants containing rotenone of subheading 13.02.19 when used in the production of goods of subheading 13.02.19."
chapter,Chapter 17,Sugars and Sugar Confectionery,,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 does not apply to non-originating cane sugar of subheading 17.01.13 used in the production of cane sugar of subheading 17.01.14, or to non-originating cane sugar of subheading 17.01.14 used in the production of cane sugar of subheading 17.01.13."
chapter,Chapter 20,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",2,"Notwithstanding paragraph 3 of Article D-05 (De Minimis), paragraph 1 of Article D-05 applies to non-originating truffles of subheading 20.03.90 used in the production of mixtures of mushrooms and truffles of subheading 20.03.90.  Fruit, nut and vegetable preparations of Chapter 20 that have been prepared or preserved merely by freezing, by packing (including canning) in water, brine or natural juices, or by roasting, either dry or in oil (including processing incidental to freezing, packing, or roasting), shall be treated as an originating good only if the fresh good were wholly produced or obtained entirely in the territory of one or both of the Parties ."
chapter,Chapter 27,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",4,"For the purpose of heading 27.07, a “chemical reaction” is a process (including a biochemical process) which results in a molecule with a new structure by breaking intramolecular bonds and by forming new intramolecular bonds, or by altering the spatial arrangement of atoms in a molecule.  The following are not considered to be chemical reactions for the purposes of this definition: (a) the dissolution in water or other solvents; (b) the elimination of solvents, including solvent water; or (c) the addition or elimination of water of crystallization.  For the purpose of heading 27.10, the following processes confer origin: (a) Atmospheric distillation - A separation process in which petroleum oils are converted, in a distillation tower, into fractions according to boiling point and the vapour then condensed into different liquefied fractions. Liquefied petroleum gas, naphtha, gasoline, kerosene, diesel/heating oil, light gas oils, and lubricating oil are produced from petroleum distillation; (b) Vacuum distillation - Distillation at a pressure below atmospheric but not so low that it would be classed as molecular distillation. Vacuum distillation is useful for distilling high-boiling and heat-sensitive materials such as heavy distillates in petroleum oils to produce light to heavy vacuum gas oils and residuum. In some refineries gas oils may be further processed into lubricating oils; (c) Catalytic hydroprocessing - The cracking and/or treating of petroleum oils with hydrogen at high temperature and under pressure, in the presence of special catalysts. Catalytic hydroprocessing includes hydrocracking and hydrotreating; (d) Reforming (catalytic reforming) - The rearrangement of molecules in a naphtha boiling range material to form higher octane aromatics (i.e., improved antiknock quality at the expense of gasoline yield). A main product is catalytic reformate, a blend component for gasoline. Hydrogen is another by-product; (e) Alkylation - A process whereby a high-octane blending component for gasolines is derived from catalytic combination of an isoparaffin and an olefin; (f) Cracking - A refining process involving decomposition and molecular recombination of organic compounds, especially hydrocarbons obtained by means of heat, to form molecules suitable for motor fuels, monomers, petrochemicals, etc: (i) Thermal cracking - Exposes the distillate to temperatures of approximately 540-650C (1000-1200F) for varying periods of time. Process produces modest yields of gasoline and higher yields of residual products for fuel oil blending; (ii) Catalytic cracking - Hydrocarbon vapors are passed at approximately 400C (750F) over a metallic catalyst (e.g., silica-alumina or platinum); the complex recombinations (alkylation, polymerization, isomerization, etc.) occur within seconds to yield high-octane gasoline. Process yields less residual oils and light gases than thermal cracking; (g) Coking - A thermal cracking process for the conversion of heavy low grade products, such as reduced crude, straight run pitch, cracked tars, and shale oil into solid coke (carbon) and lower boiling hydrocarbon products which are suitable as feed for other refinery units for conversion into lighter products; and (h) Isomerization – The refinery process of converting petroleum compounds into their isomers.  For the purpose of heading 27.10, “direct blending” is defined as a refinery process whereby various petroleum streams from processing units and petroleum components from holding/storage tanks combine to create a finished product, with pre-determined parameters, classified under heading 27.10, provided that the non-originating material constitutes no more than 25 per cent by volume of the good."
chapter,Chapter 28,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes",5,"Notes 3 through 4 of this Chapter confer origin to a good of any heading or subheading in this Chapter.  Notwithstanding Note 1, a good is an originating good if it meets the applicable change in tariff classification specified in the rules of origin of this Chapter. Chemical Reaction A good of this Chapter that results from a chemical reaction in the territory of one or both of the Parties shall be treated as an originating good. For the purpose of this Chapter, a ""chemical reaction"" is a process (including a biochemical process) that results in a molecule with a new structure by breaking intramolecular bonds and forming new intramolecular bonds, or by altering the spatial arrangement of atoms in a molecule. The following are not considered to be chemical reactions for the purpose of determining whether a good is originating: (a) the dissolution in water or in another solvent; (b) the elimination of solvents, including solvent water; or (c)  the addition or elimination of water of crystallization Purification A good of this Chapter that is subject to purification shall be treated as an originating good provided that the purification occurs in the territory of one or both of the Parties and results in the elimination of not less than 80 per cent of the impurities. Separation Prohibition A good that undergoes a change from one tariff classification to another in the territory of one or both of the Parties as a result of the separation of one or both materials from a man-made mixture shall not be treated as an originating good unless the isolated material undergoes a chemical reaction in the territory or one or both of the Parties."
chapter,Chapter 29,Organic Chemicals,6,"Notes 3 through 5 of this Chapter confer origin to a good of any heading or subheading in this Chapter, except as otherwise specified in those notes.  Notwithstanding Note 1, a good is an originating good if it meets the applicable change in tariff classification specified in the rules of origin of this Chapter. Chemical Reaction A good of this Chapter that results from a chemical reaction in the territory of one or both of the Parties shall be treated as an originating good. For the purpose of this Chapter, a ""chemical reaction"" is a process (including a biochemical process) that results in a molecule with a new structure by breaking intramolecular bonds and by forming new intramolecular bonds, or by altering the spatial arrangement of atoms in a molecule. The following are not considered to be chemical reactions for the purpose of determining whether a good is originating: (a) the dissolution in water or in another solvent; (b) the elimination of solvents, including solvent water; or (c) the addition or elimination of water of crystallization. Purification A good of this Chapter that is subject to purification shall be treated as an originating good provided that the purification occurs in the territory of one or both of the Parties and results in the elimination of not less than 80 per cent of the impurities. Isomer Separation A good of this Chapter shall be treated as an originating good if the isolation or separation of isomers from mixtures of isomers occurs in the territory of one or both of the Parties. Separation Prohibition A good that undergoes a change from one tariff classification to another in the territory of one or both of the Parties as a result of the separation of one or both materials from a man-made mixture shall not be treated as an originating good unless the isolated material undergoes a chemical reaction in the territory of one or both of the Parties."
item,49.01-49.11,"Printed Books, Newspapers, Pictures and Other Products of the Printing Industry; Manuscripts, Typescripts and Plans",,"The textile and apparel rules should be read in conjunction with Annex C-00-B (Textile and Apparel Goods) of the Agreement. For purposes of the rules of this Section, the term “wholly” means that the good is made entirely or solely of the named material ."
chapter,Chapter 61,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted",1,"A change to any of the following heading or subheading for visible lining fabrics: 51.11 through 51.12, 52.08.31 through 52.08.59, 52.09.31 through 52.09.59, 52.10.31 through 52.10.59, 52.11.31 through 52.11.59, 52.12.13 through 52.12.15, 52.12.23 through 52.12.25, 54.07.42 through 54.07.44, 54.07.52 through 54.07.54, 54.07.61, 54.07.72 through 54.07.74, 54.07.82 through 54.07.84, 54.07.92 through 54.07.94, 54.08.22 through 54.08.24 (excluding tariff item 54.08.22.aa, 54.08.23.aa or 54.08.24.aa), 54.08.32 through 54.08.34, 55.12.19, 55.12.29, 55.12.99, 55.13.21 through 55.13.49, 55.14.21 through 55.15.99, 55.16.12 through 55.16.14, 55.16.22 through 55.16.24, 55.16.32 through 55.16.34, 55.16.42 through 55.16.44, 55.16.92 through 55.16.94, 60.01.10, 60.01.92, 60.05.31 through 60.05.44 or 60.06.10 through 60.06.44, from any heading outside that group . 2: For purposes of determining the origin of a good of this Chapter, the rule applicable to that good shall only apply to the component that determines the tariff classification of the good and such component must satisfy the tariff change requirements set out in the rule for that good. If the rule requires that the good must also satisfy the tariff change requirements for visible lining fabrics listed in Note 1 to this Chapter, such requirements shall only apply to the visible lining fabric in the main body of the garment, excluding sleeves, which covers the largest surface area, and shall not apply to removable linings ."
chapter,Chapter 62,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted",3,"A change to any of the following heading or subheading for visible lining fabrics: 51.11 through 51.12, 52.08.31 through 52.08.59, 52.09.31 through 52.09.59, 52.10.31 through 52.10.59, 52.11.31 through 52.11.59, 52.12.13 through 52.12.15, 52.12.23 through 52.12.25, 54.07.42 through 54.07.44, 54.07.52 through 54.07.54, 54.07.61, 54.07.72 through 54.07.74, 54.07.82 through 54.07.84, 54.07.92 through 54.07.94, 54.08.22 through 54.08.24 (excluding tariff item 54.08.22.aa, 54.08.23.aa or 54.08.24.aa), 54.08.32 through 54.08.34, 55.12.19, 55.12.29, 55.12.99, 55.13.21 through 55.13.49, 55.14.21 through 55.15.99, 55.16.12 through 55.16.14, 55.16.22 through 55.16.24, 55.16.32 through 55.16.34, 55.16.42 through 55.16.44, 55.16.92 through 55.16.94, 60.01.10, 60.01.92, 60.05.31 through 60.05.44 or 60.06.10 through 60.06.44, from any heading outside that group .  Apparel goods of this Chapter shall be considered to originate if they are both cut and sewn or otherwise assembled in the territory of one or both of the Parties and if the fabric of the outer shell, exclusive of collars or cuffs, is wholly of one or more of the following: (a) Velveteen fabrics of subheading 58.01.23, containing 85 per cent or more by weight of cotton; (b) Corduroy fabrics of subheading 58.01.22, containing 85 per cent or more by weight of cotton and containing more than 7.5 wales per centimetre; (c) Fabrics of subheading 51.11.11 or 51.11.19, if hand-woven, with a loom width of less than 76 cm, woven in the United Kingdom in accordance with the rules and regulations of the Harris Tweed Association, Ltd., and so certified by that Association; (d) Fabrics of subheading 51.12.30, weighing not more than 340 g/m2, containing wool, not less than 20 per cent by weight of fine animal hair and not less than 15 per cent by weight of man-made staple fibres; or (e) Batiste fabrics of subheading 55.13.11 or 55.13.21, of square construction, of single yarns exceeding 76 metric count, containing between 60 and 70 warp ends and filling picks per square centimetre, of a weight not exceeding 110 g/m2 .  For purposes of determining the origin of a good of this Chapter, the rule applicable to that good shall only apply to the component that determines the tariff classification of the good and such component must satisfy the tariff change requirements set out in the rule for that good. If the rule requires that the good must also satisfy the tariff change requirements for visible lining fabrics listed in Note 1 to this Chapter, such requirements shall only apply to the visible lining fabric in the main body of the garment, excluding sleeves, which covers the largest surface area, and shall not apply to removable linings ."
item,62.05.20-62.05.30,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted",,"Men’s or boys’ shirts of cotton or man-made fibres shall be considered to originate if they are both cut and assembled in the territory of one or both of the Parties and if the fabric of the outer shell, exclusive of collars or cuffs, is wholly of one or more of the following: (a) Fabric of subheading 52.08.21, 52.08.22, 52.08.29, 52.08.31, 52.08.32, 52.08.39, 52.08.41, 52.08.42, 52.08.49, 52.08.51, 52.08.52, 52.08.59, other than 3-thread or 4‑thread twill, including cross twill, fabric of subheading 52.08.59, of average yarn number exceeding 135 metric; (b) fabrics of subheading 55.13.11 or 55.13.21, not of square construction, containing more than 70 warp ends and filling picks per square centimetre, of average yarn number exceeding 70 metric; (c) fabrics of subheading 52.10.21 or 52.10.31, not of square construction, containing more than 70 warp ends and filling picks per square centimetre, of average yarn number exceeding 70 metric; (d) fabrics of subheading 52.08.22 or 52.08.32, not of square construction, containing more than 75 warp ends and filling picks per square centimetre, of average yarn number exceeding 65 metric; (e) fabrics of subheading 54.07.81, 54.07.82 or 54.07.83, weighing less than 170 g/m2, having a dobby weave created by a dobby attachment; (f) fabrics of subheading 52.08.42 or 52.08.49, not of square construction, containing more than 85 warp ends and fillpicks per square centimetre, of average yarn number exceeding 85 metric; (g) fabrics of subheading 52.08.51, of square construction, containing more than 75 warp ends and filling picks per square centimetre, made with single yarns, of average yarn number 95 or greater metric; (h) fabrics of subheading 52.08.41, of square construction, with a gingham pattern, containing more than 85 warp ends and filling picks per square centimetre, made with single yarns, of average yarn number 95 or greater metric, and characterized by a check effect produced by the variation in colour of the yarns in the warp and filling; or (i) fabrics of subheading 52.08.41, with the warp coloured with vegetable dyes and the filling yarns white or coloured with vegetable dyes, of average yarn number greater than 65 metric."
item,62.07.11,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted",,"Men’s or boys’ boxer shorts of cotton shall be considered to originate if they are both cut and sewn or otherwise assembled in the territory of one or both of the Parties and if the plain weave fabric of the outer shell, exclusive of waistbands, is wholly of one or more of the following: (a) Fabric of subheading 52.08.41, yarn-dyed, with a fibre content of 100 per cent cotton, 95 to 100 grams per square metre, of average yarn number 37 to 42 metric; (b) Fabric of subheading 52.08.42, yarn-dyed, with a fibre content of 100 per cent cotton, weighing not more than 105 grams per square metre, of average yarn number 47 to 53 metric; (c) Fabric of subheading 52.08.51, printed, with a fibre content of 100 per cent cotton, of 93 to 97 grams per square metre, of average yarn number 38 to 42 metric; (d) Fabric of subheading 52.08.52, printed, with a fibre content of 100 per cent cotton, of 112 to 118 grams per square metre, of average yarn number 38 to 42 metric; (e) Fabric of subheading 52.10.11, greige, with a fibre content of 51 to 60 per cent cotton, of 49 to 40 per cent polyester, 100 to 112 grams per square metre, of average yarn number 55 to 65 metric; (f) Fabric of subheading 52.10.41, yarn-dyed, with a fibre content of 51 to 60 per cent cotton, of 49 to 40 per cent polyester, 77 to 82 grams per square metre, of average yarn number 43 to 48 metric; (g) Fabric of subheading 52.10.41, yarn-dyed, with a fibre content of 51 to 60 per cent cotton, of 49 to 40 per cent polyester, 85 to 90 grams per square metre, of average yarn number 69 to 75 metric; (h) Fabric of subheading 52.10.51, printed, with a fibre content of 51 to 60 per cent cotton, of 49 to 40 per cent polyester, 107 to 113 grams per square metre, of average yarn number 33 to 37 metric; (i) Fabric of subheading 52.10.51, printed, with a fibre content of 51 to 60 per cent cotton, of 49 to 40 per cent polyester, 92 to 98 grams per square metre, of average yarn number 43 to 48 metric; or (j) Fabric of subheading 52.10.51, printed, with a fibre content of 51 to 60 per cent cotton, of 49 to 40 per cent polyester, 105 to 112 grams per square metre, of average yarn number 50 to 60 metric."
chapter,Chapter 63,Other Made Up Textile Articles; Sets; Worn Clothing and Worn Textile Articles; Rags,,"For purposes of determining the origin of a good of this Chapter, the rule applicable to that good shall only apply to the component that determines the tariff classification of the good and such component must satisfy the tariff change requirements set out in the rule for that good . 63.01–63.08 A change to heading 63.01 through 63.08 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54, heading 55.12 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties."
chapter,Chapter 84,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",1,"For the purpose of this Chapter, the term “printed circuit assembly” means a good consisting of one or both printed circuits of heading 85.34 with one or both active elements assembled thereon, with or without passive elements. For the purpose of this Note, “active elements” means diodes, transistors and similar semiconductor devices, whether or not photosensitive, of heading 85.41 and integrated circuits of heading 85.42 and microassemblies of heading 85.43 or 85.48."
item,84.73.50,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof",,The alternative rule which contains a regional value-content requirement does not apply to a part or accessory of subheading 84.73.50 if that part or accessory is used in the production of a good of subheading 84.69.11 or heading 84.71 .
chapter,Chapter 85,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",4,"For the purpose of this Chapter, the term “printed circuit assembly” means a good consisting of one or both printed circuits of heading 85.34 with one or both active elements assembled thereon, with or without passive elements. For the purpose of this Note, “active elements” means diodes, transistors and similar semiconductor devices, whether or not photosensitive, of heading 85.41 and integrated circuits of heading 85.42 and microassemblies of heading 85.43 or 85.48.  For purposes of this Chapter : (a) references to “high definition” as it applies to television receivers and cathode-ray tubes refers to goods having (i) an aspect ratio of the screen equal to or greater than 16:9, and (ii) a viewing screen capable of displaying more than 700 scanning lines; and (b) the video display diagonal is determined by measuring the maximum straight line dimension across the visible portion of the face plate used for displaying video .  For purposes of tariff item 85.40.91.aa, the term “front panel assembly” refers to : (a) with respect to a colour cathode-ray television picture tube, video monitor tube or video projector tube, an assembly which consists of a glass panel and a shadow mask or aperture grille, attached for ultimate use, which is suitable for incorporation into a colour cathoderay television picture tube, video monitor tube or video projector tube and which has undergone the necessary chemical and physical processes for imprinting phosphors on the glass panel with sufficient precision to render a video image when excited by a stream of electrons; or (b) with respect to a monochrome cathode-ray television picture tube, video monitor tube or video projector tube, an assembly which consists of either a glass panel or a glass envelope, which is suitable for incorporation into a monochrome cathode-ray television picture tube, video monitor tube or video projector tube and which has undergone the necessary chemical and physical processes for imprinting phosphors on the glass panel or glass envelope with sufficient precision to render a video image when excited by a stream of electrons .  The origin of a television combination unit shall be determined in accordance with the rule that would be applicable to such unit if it were solely a television receiver ."
item,85.40.12,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",,The following rule applies to a good of tariff item 8540.12aa incorporating a glass panel referred to in paragraph (b) of Note 5 of Chapter 85 and a glass cone of tariff item 70.11.20.aa:
item,85.40.12.aa,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts and Accessories of Such Articles",,The following rule applies to a good of tariff item 85.40.12.aa incorporating a glass envelope referred to in paragraph (b) of Note 5 of Chapter 85:
chapter,Chapter 87,"Vehicles Other Than Railway or Tramway Rolling-Stock, and Parts and Accessories thereof",,"The provisions of Article D-03 apply to a good provided for in heading 87.01 through 87.02, subheading 87.03.21 through 87.03.90 or heading 87.04 through 87.08 ."
chapter,Chapter 90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof",2,"For the purpose of this Chapter, the term ""printed circuit assembly” means a good consisting of one or both printed circuits of heading 85.34 with one or both active elements assembled thereon, with or without passive elements. For the purpose of this Note, ""active elements"" means diodes, transistors and similar semiconductor devices, whether or not photosensitive, of heading 85.41 and integrated circuits of heading 85.42 and microassemblies of heading 85.43 or 85.48.  The origin of the goods of Chapter 90 shall be determined without regard to the origin of any automatic data processing machines or units thereof of heading 84.71, or parts and accessories thereof of heading 84.73, which may be included therewith ."
