Chapter/heading/ sub-heading,Description,Product Specific Rule of Origin,needs_manual_check
12.07.99,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to subheading 12.07.99 from any other chapter,0
12.08,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to heading 12.08 from any other chapter,0
12.09.10-12.09.30,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to subheading 12.09.10 through 12.09.30 from any other chapter,1
12.09.91,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder","A change to celery seeds, crushed or ground, of subheading 12.09.91 from celery seeds, neither crushed nor ground, within that subheading or any other chapter; or A change to any other good of subheading 12.09.91 from any other chapter.",0
12.09.99,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to subheading 12.09.99 from any other chapter,0
12.10-12.14,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to heading 12.10 through 12.14 from any other chapter,1
Chapter 13,"Lac; Gums, Resins and Other Vegetable Saps and Extracts",,0
13.01-13.02,"Lac; Gums, Resins and Other Vegetable Saps and Extracts","A change to heading 13.01 through 13.02 from any other chapter, except from concentrates of poppy straw of subheading 29.39.11",0
Chapter 14,Vegetable Plaiting Materials; Vegetable Products Not Elsewhere Specified or Included,,0
14.01-14.04,Vegetable Plaiting Materials; Vegetable Products Not Elsewhere Specified or Included,A change to heading 14.01 through 14.04 from any other chapter,0
Chapter 15,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,,0
15.01-15.18,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,"A change to heading 15.01 through 15.18 from any other chapter, except from heading 38.23",0
15.20,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,"A change to heading 15.20 from any other heading, except from heading 38.23",0
15.21-15.22,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,A change to heading 15.21 through 15.22 from any other chapter,0
Chapter 16,"Preparations of Meat, of Fish or of Crustaceans, Molluscs or Other Aquatic Invertebrates",,0
16.01-16.04,"Preparations of Meat, of Fish or of Crustaceans, Molluscs or Other Aquatic Invertebrates",A change to heading 16.01 through 16.04 from any other chapter,0
16.05,"Preparations of Meat, of Fish or of Crustaceans, Molluscs or Other Aquatic Invertebrates","A change to heading 16.05 from any other chapter, except from a smoked good of heading 03.06 through 03.08",0
Chapter 17,Sugars and Sugar Confectionery,,0
17.01-17.03,Sugars and Sugar Confectionery,A change to heading 17.01 through 17.03 from any other chapter,0
17.04,Sugars and Sugar Confectionery,A change to heading 17.04 from any other heading,0
Chapter 18,Cocoa and Cocoa Preparations,,0
18.01-18.02,Cocoa and Cocoa Preparations,A change to heading 18.01 through 18.02 from any other chapter,0
18.03-18.05,Cocoa and Cocoa Preparations,"A change to heading 18.03 through 18.05 from any other heading, including another heading within that group",0
18.06.10,Cocoa and Cocoa Preparations,A change to subheading 18.06.10 from any other heading,0
18.06.10,Cocoa and Cocoa Preparations,"A change to subheading 18.06.10 from any other heading, provided that the non-originating sugar of Chapter 17 constitutes no more than 35 per cent by weight of the sugar and the non-originating cocoa powder of heading 18.05 constitutes no more than 35 per cent by weight of the cocoa powder",0
18.06.20,Cocoa and Cocoa Preparations,A change to subheading 18.06.20 from any other heading,0
18.06.31-18.06.90,Cocoa and Cocoa Preparations,"A change to subheading 18.06.31 through 18.06.90 from any other subheading, including another subheading within that group",0
Chapter 19,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",,0
19.01.10.aa,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products","A change to tariff item 19.01.10.aa from any other chapter, except from Chapter 4",0
19.01.10,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.01.10 from any other chapter,0
19.01.20.aa,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products","A change to tariff item 19.01.20.aa from any other chapter, except from Chapter 4",0
19.01.20,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.01.20 from any other chapter,0
19.01.90.aa,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products","A change to tariff item 19.01.90.aa from any other chapter, except from Chapter 4",0
19.01.90,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.01.90 from any other chapter,0
19.02-19.03,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to heading 19.02 through 19.03 from any other chapter,0
19.04.10,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.04.10 from any other chapter,0
19.04.20,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products","A change to subheading 19.04.20 from any other subheading, except from Chapter 20",0
19.04.30-19.04.90,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.04.30 through 19.04.90 from any other chapter,0
19.05,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to heading 19.05 from any other chapter,0
Chapter 20,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",,0
20.01-20.07,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",A change to heading 20.01 through 20.07 from any other chapter,0
20.08.11.aa,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants","A change to tariff item 20.08.11.aa from any other heading, except from heading 12.02",0
20.08.11,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",A change to subheading 20.08.11 from any other chapter,0
20.08.19-20.08.99,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",A change to subheading 20.08.19 through 20.08.99 from any other chapter,0
20.09.11-20.09.39,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants","A change to subheading 20.09.11 through 20.09.39 from any other chapter, except from heading 08.05",0
20.09.41-20.09.89,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",A change to subheading 20.09.41 through 20.09.89 from any other chapter,0
20.09.90,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",A change to subheading 20.09.90 from any other subheading,0
Chapter 21,Miscellaneous Edible Preparations,,0
21.01.11.aa,Miscellaneous Edible Preparations,"A change to tariff item 21.01.11.aa from any other chapter, provided that the non-originating coffee of Chapter 9 constitutes no more than 60 per cent by weight of the good",0
21.01,Miscellaneous Edible Preparations,A change to heading 21.01 from any other chapter,0
21.02,Miscellaneous Edible Preparations,A change to heading 21.02 from any other chapter,0
21.03.10,Miscellaneous Edible Preparations,A change to subheading 21.03.10 from any other chapter,0
21.03.20.aa,Miscellaneous Edible Preparations,"A change to tariff item 21.03.20.aa from any other chapter, except from subheading 20.02.90",0
21.03.20,Miscellaneous Edible Preparations,A change to subheading 21.03.20 from any other chapter,0
21.03.30,Miscellaneous Edible Preparations,A change to subheading 21.03.30 from any other chapter,0
21.03.90,Miscellaneous Edible Preparations,A change to mixed condiments or mixed seasonings of subheading 21.03.90 from yeasts of subheading 21.02.10 through 21.02.20 or any other chapter; or A change to any other good of subheading 21.03.90 from any other chapter.,0
21.04,Miscellaneous Edible Preparations,A change to heading 21.04 from any other chapter,0
21.05,Miscellaneous Edible Preparations,"A change to heading 21.05 from any other heading, except from Chapter 4 or tariff item 19.01.90.aa",0
21.06.90.bb,Miscellaneous Edible Preparations,"A change to tariff item 21.06.90.bb from any other chapter, except from heading 08.05 or 20.09 or tariff item 22.02.90.aa",0
21.06.90.cc,Miscellaneous Edible Preparations,"A change to tariff item 21.06.90.cc from any other chapter, except from heading 20.09 or tariff item 22.02.90.bb; or A change to tariff item 21.06.90.cc from any other subheading within Chapter 21, heading 20.09 or tariff item 22.02.90.bb whether or not there is also a change from any other chapter, provided that a single juice ingredient, or juice ingredients from a single non-Party, constitute in single strength form no more than 60 per cent by volume of the good.",0
21.06.90.dd,Miscellaneous Edible Preparations,"A change to tariff item 21.06.90.dd from any other chapter, except from Chapter 4 or tariff item 19.01.90.aa",0
21.06.90.ee,Miscellaneous Edible Preparations,"A change to tariff item 21.06.90.ee from any other tariff item, except from heading 22.03 through 22.09",0
21.06,Miscellaneous Edible Preparations,A change to heading 21.06 from any other chapter,0
Chapter 22,"Beverages, Spirits and Vinegar",,0
22.01,"Beverages, Spirits and Vinegar",A change to heading 22.01 from any other chapter,0
22.02.10,"Beverages, Spirits and Vinegar",A change to subheading 22.02.10 from any other chapter,0
22.02.90.aa,"Beverages, Spirits and Vinegar","A change to tariff item 22.02.90.aa from any other chapter, except from heading 08.05 or 20.09 or tariff item 21.06.90.bb",0
22.02.90.bb,"Beverages, Spirits and Vinegar","A change to tariff item 22.02.90.bb from any other chapter, except from heading 20.09 or tariff item 21.06.90.cc; or A change to tariff item 22.02.90.bb from any other subheading within Chapter 22, heading 20.09 or tariff item 21.06.90.cc, whether or not there is also a change from any other chapter, provided that a single juice ingredient, or juice ingredients from a single non-Party, constitute in single strength form no more than 60 per cent by volume of the good.",0
22.02.90.cc,"Beverages, Spirits and Vinegar","A change to tariff item 22.02.90.cc from any other chapter, except from Chapter 4 or tariff item 19.01.90.aa",0
22.02.90,"Beverages, Spirits and Vinegar",change to subheading 22.02.90 from any other chapter,0
22.03-22.07,"Beverages, Spirits and Vinegar",A change to heading 22.03 through 22.07 from any heading outside that group,0
22.08.20,"Beverages, Spirits and Vinegar",A change to subheading 22.08.20 from any other heading,0
22.08.30,"Beverages, Spirits and Vinegar","A change to a good of subheading 22.08.30 from within that subheading or any other subheading, provided that the total alcoholic volume of the non-originating materials of heading 22.03 through 22.08 does not exceed 10 per cent of the volume of the total alcoholic strength of the good",0
22.08.40-22.08.90,"Beverages, Spirits and Vinegar",A change to subheading 22.08.40 through 22.08.90 from any other heading,0
22.09,"Beverages, Spirits and Vinegar",A change to heading 22.09 from any other heading,0
Chapter 23,Residues and Waste From the Food Industries; Prepared Animal Fodder,,0
23.01-23.08,Residues and Waste From the Food Industries; Prepared Animal Fodder,A change to heading 23.01 through 23.08 from any other chapter,0
23.09.10,Residues and Waste From the Food Industries; Prepared Animal Fodder,A change to subheading 23.09.10 from any other heading,0
23.09.90.aa,Residues and Waste From the Food Industries; Prepared Animal Fodder,"A change to tariff item 23.09.90.aa from any other heading, except from Chapter 4 or tariff item 19.01.90.aa",0
23.09.90,Residues and Waste From the Food Industries; Prepared Animal Fodder,A change to subheading 23.09.90 from any other heading,0
Chapter 24,Tobacco and Manufactured Tobacco Substitutes,,0
24.01-24.03,Tobacco and Manufactured Tobacco Substitutes,"A change to heading 24.01 through 24.03 from tariff item 24.01.10.aa, 24.01.20.aa or 24.03.91.aa or any other chapter",0
Chapter 25,"Salt; Sulphur; Earths and Stone; Plastering Materials, Lime and Cement",,0
25.01-25.30,"Salt; Sulphur; Earths and Stone; Plastering Materials, Lime and Cement",A change to heading 25.01 through 25.30 from any other chapter,0
Chapter 26,"Ores, Slag and Ash",,0
26.01-26.21,"Ores, Slag and Ash","A change to heading 26.01 through 26.21 from any other heading, including another heading within that group",0
Chapter 27,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",,0
27.01-27.03,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.01 through 27.03 from any other chapter,0
27.04,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.04 from any other heading,0
27.05-27.06,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to heading 27.05 through 27.06 from any other heading, including another heading within that group",0
27.07.10-27.07.91,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to subheading 27.07.10 through 2707. 91 from any other heading; or A change to subheading 27.07.10 through 2707. 91 from any other subheading within heading 27.07, whether or not there is also a change from any other heading, provided that the good resulting from such change is the product of a chemical reaction.",0
27.07.99,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to subheading 27.07.99 from any other heading; A change to phenols of subheading 27.07.99 from within that subheading or any other subheading within heading 27.07, whether or not there is also a change from any other heading, provided that the good resulting from such change is the product of a chemical reaction; or A change to any other good of subheading 27.07.99 from phenols of that subheading or any other subheading within heading 27.07, whether or not there is also a change from any other heading, provided that the good resulting from such change is the product of a chemical reaction.",0
27.08-27.09,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to heading 27.08 through 27.09 from any other heading, including another heading within that group",0
27.10,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to heading 27.10 from any other heading, except from heading 27.11 through 27.15; Production of any good of heading 27.10 as the result of atmospheric distillation, vacuum distillation, catalytic hydroprocessing, catalytic reforming, alkylation, catalytic cracking, thermal cracking, coking or isomerization; or Production of any good of heading 27.10 as the result of direct blending, provided the non-originating material constitutes no more than 25 per cent by volume of the good.",0
27.11.11,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",A change to a good of subheading 27.11.11 from within that subheading or any other subheading,0
27.11.12-27.11.14,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to a good of any of subheading 27.11.12 through 27.11.14 from within that subheading or any other subheading, including another subheading within that group",0
27.11.19,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to subheading 27.11.19 from any other subheading, except from subheading 27.11.29",0
27.11.21,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to subheading 27.11.21 from any other subheading, except from subheading 27.11.11",0
27.11.29,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to subheading 27.11.29 from any other subheading, except from subheading 27.11.12 through 27.11.21",0
27.12,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.12 from any other heading,0
27.13.11-27.13.12,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",A change to subheading 27.13.11 through 27.13.12 from any other heading,0
27.13.20,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to a good of subheading 27.13.20 from within that subheading or any other subheading, provided that the non‑originating feedstock of heading 27.13 constitutes no more than 49 per cent by volume of the good",0
27.13.90,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",A change to subheading 27.13.90 from any other heading,0
27.14,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.14 from any other heading,0
27.15,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes","A change to heading 27.15 from any other heading, except from subheading 27.13.20 or heading 27.14",0
27.16,"Mineral Fuels, Mineral Oils and Products of their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.16 from any other heading,0
Chapter 28,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes",,0
28.01.10-28.03.00,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes","A change to subheading 28.01.10 through 28.03.00 from any other subheading, including another subheading within that group",0
28.04.10-28.04.50,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes","A change to subheading 28.04.10 through 28.04.50 from any other subheading, including another subheading within that group",0
28.04.61-28.04.69,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes",A change to subheading 28.04.61 through 28.04.69 from any other heading,0
28.04.70-28.04.90,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes","A change to subheading 28.04.70 through 28.04.90 from any other subheading, including another subheading within that group",0
28.05.11-28.14.20,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes","A change to subheading 28.05.11 through 28.14.20 from any other subheading, including another subheading within that group",0
28.15.11-28.15.12,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes",A change to subheading 28.15.11 through 28.15.12 from any subheading outside that group,0
28.15.20-28.15.30,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes","A change to subheading 28.15.20 through 28.15.30 from any other subheading, including another subheading within that group",0
28.16.10-28.53.00,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes","A change to subheading 28.16.10 through 28.53.00 from any other subheading, including another subheading within that group",0
Chapter 29,Organic Chemicals,,0
29.01.10-29.42.00,Organic Chemicals,"A change to subheading 29.01.10 through 29.42.00 from any other subheading, including another subheading within that group",0
Chapter 30,Pharmaceutical Products,,0
30.01.20,Pharmaceutical Products,A change to subheading 30.01.20 from any other subheading,0
30.01.90,Pharmaceutical Products,"A change to a gland or other organ, dried, whether or not powdered, of subheading 30.01.90 from within that subheading or any other subheading; or A change to any other good of subheading 30.01.90 from a gland or other organ, dried, whether or not powdered, within that subheading or any other subheading.",0
30.02.10-30.05.90,Pharmaceutical Products,"A change to a good of any of subheading 30.02.10 through 30.05.90 from within that subheading or any other subheading, including another subheading within that group",0
30.06.10-30.06.60,Pharmaceutical Products,"A change to subheading 30.06.10 through 30.06.60 from any other subheading, including another subheading within that group",0
30.06.70,Pharmaceutical Products,"A change to subheading 30.06.70 from any other chapter, except from Chapter 28 through 38; or A change to subheading 30.06.70 from any other subheading within Chapter 28 through 38, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 per cent where the transaction value method is used, or (b) 50 per cent where the net cost method is used.",0
30.06.91,Pharmaceutical Products,A change to subheading 30.06.91 from any other heading,0
30.06.92,Pharmaceutical Products,A change to subheading 30.06.92 from any other chapter,0
Chapter 31,Fertilizers,,0
31.01,Fertilizers,A change to heading 31.01 from any other heading,0
31.02.10-31.02.80,Fertilizers,"A change to subheading 31.02.10 through 31.02.80 from any other subheading, including another subheading within that group",0
31.02.90,Fertilizers,A change to calcium cyanamide of subheading 31.02.90 from within that subheading or any other subheading; or A change to any other good of subheading 31.02.90 from calcium cyanamide within that subheading or any other subheading.,0
31.03.10,Fertilizers,A change to subheading 31.03.10 from any other subheading,0
31.03.90,Fertilizers,A change to basic slag of subheading 31.03.90 from within that subheading or any other subheading; or A change to any other good of subheading 31.03.90 from basic slag within that subheading or any other subheading.,0
31.04.20-31.04.30,Fertilizers,"A change to subheading 31.04.20 through 31.04.30 from any other subheading, including another subheading within that group",0
31.04.90,Fertilizers,"A change to carnallite, sylvite or other crude natural potassium salts of subheading 31.04.90 from within that subheading or any other subheading; or A change to any other good of subheading 31.04.90 from carnallite, sylvite or other crude natural potassium salts within that subheading or any other subheading.",0
31.05.10-31.05.90,Fertilizers,"A change to subheading 31.05.10 through 31.05.90 from any other subheading, including another subheading within that group",0
Chapter 32,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",,0
32.01.10-32.02.90,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to subheading 32.01.10 through 32.02.90 from any other subheading, including another subheading within that group",0
32.03,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to heading 32.03 from any other heading,0
32.04.11-32.04.90,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to subheading 32.04.11 through 32.04.90 from any other subheading, including another subheading within that group",0
32.05,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to heading 32.05 from any other heading,0
32.06.11-32.06.42,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to subheading 32.06.11 through 32.06.42 from any other subheading, including another subheading within that group",0
32.06.49,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to a pigment and preparation based on cadmium compounds of subheading 32.06.49 from within that subheading 32.06.49 or from any other subheading; A change to a pigment and preparation based on hexacyanoferrates of subheading 32.06.49 from within that subheading or any other subheading; or A change to any other good of subheading 32.06.49 from a pigment and preparation based on cadmium compounds or on hexacyanoferrates within that subheading or any other subheading.,0
32.06.50,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to subheading 32.06.50 from any other subheading,0
32.07.10-32.07.40,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to subheading 32.07.10 through 32.07.40 from any other subheading, including another subheading within that group",0
32.08-32.10,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to heading 32.08 through 32.10 from any heading outside that group,0
32.11,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to heading 32.11 from any other heading,0
32.12.10-32.12.90,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to subheading 32.12.10 through 32.12.90 from any other subheading, including another subheading within that group",0
