Chapter/heading/ sub-heading,Description,main_rule,alt_rule,alt_rule_2,flag
09.10.99,"Coffee, Tea, Maté and Spices","A change to bay leaves, crushed or ground, of subheading 09.10.99 from bay leaves, neither crushed nor ground, of subheading 09.10.99 or any other chapter","A change to dill seeds, crushed or ground, of subheading 09.10.99 from dill seeds, neither crushed nor ground, of subheading 09.10.99 or any other chapter",A change to curry of subheading 09.10.99 from any other good of subheading 09.10.99 or any other subheading; or A change to any other good of subheading 09.10.99 from any other chapter.,1
Chapter 10,Cereals,,,,0
10.01-10.08,Cereals,A change to heading 10.01 through 10.08 from any other chapter,,,0
Chapter 11,Products of the Milling Industry; Malt; Starches; Inulin; Wheat Gluten,,,,0
11.01-11.09,Products of the Milling Industry; Malt; Starches; Inulin; Wheat Gluten,A change to heading 11.01 through 11.09 from any other chapter,,,0
Chapter 12,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",,,,0
12.01-12.06,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to heading 12.01 through 12.06 from any other chapter,,,0
12.07.10-12.07.70,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to subheading 12.07.10 through 12.07.70 from any other chapter,,,0
12.07.91,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to a good of subheading 12.07.91 from within that subheading or any other chapter,,,0
12.07.99,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to subheading 12.07.99 from any other chapter,,,0
12.08,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to heading 12.08 from any other chapter,,,0
12.09.10-12.09.30,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to subheading 12.09.10 through 12.09.30 from any other chapter,,,0
12.09.91,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder","A change to celery seeds, crushed or ground, of subheading 12.09.91 from celery seeds, neither crushed nor ground, of subheading 12.09.91 or any other chapter",A change to any other good of subheading 12.09.91 from any other chapter.,,0
12.09.99,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to subheading 12.09.99 from any other chapter,,,0
12.10-12.14,"Oil Seeds and Oleaginous Fruits; Miscellaneous Grains, Seeds and Fruit; Industrial or Medicinal Plants; Straw and Fodder",A change to heading 12.10 through 12.14 from any other chapter,,,0
Chapter 13,"Lac; Gums, Resins and Other Vegetable Saps and Extracts",,,,0
13.01.20,"Lac; Gums, Resins and Other Vegetable Saps and Extracts",A change to a good of subheading 13.01.20 from within that subheading or any other chapter,,,0
13.01.90,"Lac; Gums, Resins and Other Vegetable Saps and Extracts",A change to subheading 13.01.90 from any other chapter,,,0
13.02.11-13.02.32,"Lac; Gums, Resins and Other Vegetable Saps and Extracts","A change to subheading 13.02.11 through 13.02.32 from any other chapter, except from concentrates of poppy straw of subheading 29.39.11",,,0
13.02.39,"Lac; Gums, Resins and Other Vegetable Saps and Extracts","A change to carrageenan of subheading 13.02.39 from within that subheading or any other chapter, provided the non-originating materials of subheading 13.02.39 do not exceed 50 percent by weight of the good","A change to any other good of subheading 13.02.39 from any other chapter, except from concentrates of poppy straw of subheading 29.39.11.",,0
Chapter 14,Vegetable Plaiting Materials; Vegetable Products Not Elsewhere Specified or Included,,,,0
14.01-14.04,Vegetable Plaiting Materials; Vegetable Products Not Elsewhere Specified or Included,A change to heading 14.01 through 14.04 from any other chapter,,,0
Chapter 15,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,,,,0
15.01-15.18,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,"A change to heading 15.01 through 15.18 from any other chapter, except from heading 38.23",,,0
15.20,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,"A change to heading 15.20 from any other heading, except from heading 38.23",,,0
15.21-15.22,Animal or Vegetable Fats and Oils and Their Cleavage Products; Prepared Edible Fats; Animal or Vegetable Waxes,A change to heading 15.21 through 15.22 from any other chapter,,,0
Chapter 16,"Preparations of Meat, of Fish or of Crustaceans, Molluscs or Other Aquatic Invertebrates",,,,0
16.01-16.05,"Preparations of Meat, of Fish or of Crustaceans, Molluscs or Other Aquatic Invertebrates",A change to heading 16.01 through 16.05 from any other chapter,,,0
Chapter 17,Sugars and Sugar Confectionery,,,,0
17.01-17.03,Sugars and Sugar Confectionery,A change to heading 17.01 through 17.03 from any other chapter,,,0
17.04,Sugars and Sugar Confectionery,A change to heading 17.04 from any other heading,,,0
Chapter 18,Cocoa and Cocoa Preparations,,,,0
18.01-18.05,Cocoa and Cocoa Preparations,A change to heading 18.01 through 18.05 from any other chapter,,,0
18.06.10.aa,Cocoa and Cocoa Preparations,A change to tariff item 18.06.10.aa from any other heading,,,0
18.06.10,Cocoa and Cocoa Preparations,"A change to subheading 18.06.10 from any other heading, provided that the non-originating sugar of Chapter 17 constitutes no more than 35 percent by weight of the sugar and the non-originating cocoa powder of heading 18.05 constitutes no more than 35 percent by weight of the cocoa powder",,,0
18.06.20,Cocoa and Cocoa Preparations,A change to subheading 18.06.20 from any other heading,,,0
18.06.31-18.06.90,Cocoa and Cocoa Preparations,"A change to subheading 18.06.31 through 18.06.90 from any other subheading, including another subheading within that group",,,0
Chapter 19,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",,,,0
19.01.10.aa,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products","A change to tariff item 19.01.10.aa from any other chapter, except from Chapter 4",,,0
19.01.10,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.01.10 from any other chapter,,,0
19.01.20.aa,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products","A change to tariff item 19.01.20.aa from any other chapter, except from Chapter 4",,,0
19.01.20,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.01.20 from any other chapter,,,0
19.01.90.aa,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products","A change to tariff item 19.01.90.aa from any other chapter, except from Chapter 4",,,0
19.01.90,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.01.90 from any other chapter,,,0
19.02-19.03,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to heading 19.02 through 19.03 from any other chapter,,,0
19.04.10,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.04.10 from any other chapter,,,0
19.04.20,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products","A change to subheading 19.04.20 from any other subheading, except from Chapter 20",,,0
19.04.30-19.04.90,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to subheading 19.04.30 through 19.04.90 from any other chapter,,,0
19.05,"Preparations of Cereals, Flour, Starch or Milk; Pastrycooks’ Products",A change to heading 19.05 from any other chapter,,,0
Chapter 20,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",,,,0
20.01-20.07,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",A change to heading 20.01 through 20.07 from any other chapter,,,0
20.08.11,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants","A change to subheading 20.08.11 from any other heading, except from heading 12.02",,,0
20.08.19-20.08.99,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",A change to subheading 20.08.19 through 20.08.99 from any other chapter,,,0
20.09.11-20.09.39,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants","A change to subheading 20.09.11 through 20.09.39 from any other chapter, except from heading 08.05",,,0
20.09.41-20.09.89,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",A change to subheading 20.09.41 through 20.09.89 from any other chapter,,,0
20.09.90,"Preparations of Vegetables, Fruit, Nuts or Other Parts of Plants",A change to subheading 20.09.90 from any other chapter,"A change to cranberry juice mixtures of subheading 20.09.90 from any other subheading within Chapter 20, except from subheading 20.09.11 through 20.09.39 or cranberry juice of subheading 20.09.80, whether or not there is also a change from any other chapter, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used","A change to any other good of subheading 20.09.90 from any other subheading within Chapter 20, whether or not there is also a change from any other chapter, provided that a single juice ingredient, or juice ingredients from a single non-Party, constitute in single strength form no more than 60 percent by volume of the good.",1
Chapter 21,Miscellaneous Edible Preparations,,,,0
21.01.11.aa,Miscellaneous Edible Preparations,"A change to tariff item 21.01.11.aa from any other chapter, provided that the non-originating coffee of Chapter 9 constitutes no more than 60 percent by weight of the good",,,0
21.01,Miscellaneous Edible Preparations,A change to heading 21.01 from any other chapter,,,0
21.02,Miscellaneous Edible Preparations,A change to heading 21.02 from any other chapter,,,0
21.03.10,Miscellaneous Edible Preparations,A change to subheading 21.03.10 from any other chapter,,,0
21.03.20.aa,Miscellaneous Edible Preparations,"A change to tariff item 21.03.20.aa from any other chapter, except from subheading 20.02.90",,,0
21.03.20,Miscellaneous Edible Preparations,A change to subheading 21.03.20 from any other chapter,,,0
21.03.30,Miscellaneous Edible Preparations,A change to subheading 21.03.30 from any other chapter,,,0
21.03.90,Miscellaneous Edible Preparations,A change to subheading 21.03.90 from any other subheading,,,0
21.04,Miscellaneous Edible Preparations,A change to heading 21.04 from any other chapter,,,0
21.05,Miscellaneous Edible Preparations,"A change to heading 21.05 from any other heading, except from Chapter 4 or tariff item 19.01.90.aa",,,0
21.06.90.bb,Miscellaneous Edible Preparations,"A change to tariff item 21.06.90.bb from any other chapter, except from heading 08.05 or 20.09 or tariff item 22.02.90.aa",,,0
21.06.90.cc,Miscellaneous Edible Preparations,"A change to tariff item 21.06.90.cc from any other chapter, except from heading 20.09 or tariff item 22.02.90.bb","A change to tariff item 21.06.90.cc from any other subheading within Chapter 21, heading 20.09, or tariff item 22.02.90.bb, whether or not there is also a change from any other chapter, provided that a single juice ingredient, or juice ingredients from a single non-Party, constitute in single strength form no more than 60 percent by volume of the good.",,0
21.06.90.dd,Miscellaneous Edible Preparations,"A change to tariff items 21.06.90.dd from any other chapter, except from Chapter 4 or tariff item 19.01.90.aa",,,0
21.06.90.ee,Miscellaneous Edible Preparations,"A change to tariff item 21.06.90.ee from any other tariff item, except from heading 22.03 through 22.09",,,0
21.06,Miscellaneous Edible Preparations,A change to heading 21.06 from any other chapter,,,0
Chapter 22,"Beverages, Spirits and Vinegar",,,,0
22.01,"Beverages, Spirits and Vinegar",A change to heading 22.01 from any other chapter,,,0
22.02.10,"Beverages, Spirits and Vinegar",A change to subheading 22.02.10 from any other chapter,,,0
22.02.90.aa,"Beverages, Spirits and Vinegar","A change to tariff item 22.02.90.aa from any other chapter, except from heading 08.05 or 20.09 or tariff item 21.06.90.bb",,,0
22.02.90.bb,"Beverages, Spirits and Vinegar","A change to tariff item 22.02.90.bb from any other chapter, except from heading 20.09 or tariff item 21.06.90.cc","A change to tariff item 22.02.90.bb from any other subheading within Chapter 22, heading 20.09, or tariff item 21.06.90.cc, whether or not there is also a change from any other chapter, provided that a single juice ingredient, or juice ingredients from a single non-Party, constitute in single strength form no more than 60 percent by volume of the good.",,0
22.02.90.cc,"Beverages, Spirits and Vinegar","A change to tariff item 22.02.90.cc from any other chapter, except from Chapter 4 or tariff item 19.01.90.aa",,,0
22.02.90,"Beverages, Spirits and Vinegar",A change to subheading 22.02.90 from any other chapter,,,0
22.03-22.07,"Beverages, Spirits and Vinegar","A change to heading 22.03 through 22.07 from any heading outside that group, except from tariff item 21.06.90.ee or heading 22.08 through 22.09",,,0
22.08.20,"Beverages, Spirits and Vinegar","A change to subheading 22.08.20 from any other heading, except from tariff item 21.06.90.ee or heading 22.03 through 22.07 or 22.09",,,0
22.08.30-22.08.70,"Beverages, Spirits and Vinegar","No required change in tariff classification to subheading 22.08.30 through 22.08.70, provided that the non-originating alcoholic ingredients constitute no more than 10 percent of the alcoholic content of the good by volume",,,0
22.08.90,"Beverages, Spirits and Vinegar","A change to subheading 22.08.90 from any other heading, except from tariff item 21.06.90.ee or heading 22.03 through 22.07 or 22.09",,,0
22.09,"Beverages, Spirits and Vinegar","A change to heading 22.09 from any other heading, except from tariff item 21.06.90.ee or heading 22.03 through 22.08",,,0
Chapter 23,Residues and Waste From the Food Industries; Prepared Animal Fodder,,,,0
23.01-23.08,Residues and Waste From the Food Industries; Prepared Animal Fodder,A change to heading 23.01 through 23.08 from any other chapter,,,0
23.09.10,Residues and Waste From the Food Industries; Prepared Animal Fodder,A change to subheading 23.09.10 from any other heading,,,0
23.09.90.aa,Residues and Waste From the Food Industries; Prepared Animal Fodder,"A change to tariff item 23.09.90.aa from any other heading, except from Chapter 4 or tariff item 19.01.90.aa",,,0
23.09.90,Residues and Waste From the Food Industries; Prepared Animal Fodder,A change to subheading 23.09.90 from any other heading,,,0
Chapter 24,Tobacco and Manufactured Tobacco Substitutes,,,,0
24.01-24.03,Tobacco and Manufactured Tobacco Substitutes,"A change to heading 24.01 through 24.03 from tariff item 24.01.10.aa, 24.01.20.aa, or 24.03.91.aa or any other chapter",,,0
Chapter 25,"Salt; Sulphur; Earths and Stone; Plastering Materials, Lime and Cement",,,,0
25.01-25.30,"Salt; Sulphur; Earths and Stone; Plastering Materials, Lime and Cement",A change to heading 25.01 through 25.30 from any other chapter,,,0
Chapter 26,"Ores, Slag and Ash",,,,0
26.01-26.21,"Ores, Slag and Ash","A change to heading 26.01 through 26.21 from any other heading, including another heading within that group",,,0
Chapter 27,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",,,,0
27.01-27.03,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.01 through 27.03 from any other chapter,,,0
27.04,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.04 from any other heading,,,0
27.05-27.06,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to heading 27.05 through 27.06 from any other heading, including another heading within that group",,,0
27.07.10-27.07.91,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",A change to subheading 27.07.10 through 2707. 91 from any other heading,"A change to subheading 27.07.10 through 2707. 91 from any other subheading within heading 27.07, whether or not there is also a change from any other heading, provided that the good resulting from such change is the product of a chemical reaction.",,0
27.07.99,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",A change to subheading 27.07.99 from any other heading,"A change to phenols of subheading 27.07.99 from within that subheading or any other subheading within heading 27.07, whether or not there is also a change from any other heading, provided that the good resulting from such change is the product of a chemical reaction","A change to any other good of subheading 27.07.99 from phenols of that subheading or any other subheading within heading 27.07, whether or not there is also a change from any other heading, provided that the good resulting from such change is the product of a chemical reaction.",1
27.08-27.09,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to heading 27.08 through 27.09 from any other heading, including another heading within that group",,,0
27.10,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to heading 27.10 from any other heading, except from heading 27.11 through 27.15; Production of any good of heading 27.10 as the result of atmospheric distillation, vacuum distillation, catalytic hydroprocessing, catalytic reforming, alkylation, catalytic cracking, thermal cracking, coking or isomerization; or Production of any good of heading 27.10 as the result of direct blending, provided that: (i) the non-originating material is classified in Chapter 27, (ii) no component of that non-originating material is classified under heading 22.07, and (iii) the non-originating material constitutes no more than 25 percent by volume of the good.",,,0
27.11.11,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to a good of subheading 27.11.11 from within that subheading or any other subheading, provided that the non-originating feedstock of subheading 27.11.11 constitutes no more than 49 percent by volume of the good",,,0
27.11.12-27.11.14,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to a good of subheading 27.11.12 through 27.11.14 from within that subheading or any other subheading, including another subheading within that group, provided that the non-originating feedstock of subheading 27.11.12 through 27.11.14 constitutes no more than 49 percent by volume of the good",,,0
27.11.19,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to subheading 27.11.19 from any other subheading, except from subheading 27.11.29",,,0
27.11.21,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",A change to subheading 27.11.21 from any other subheading,,,0
27.11.29,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to subheading 27.11.29 from any other subheading, except from subheading 27.11.12 through 27.11.21",,,0
27.12,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.12 from any other heading,,,0
27.13.11-27.13.12,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",A change to subheading 27.13.11 through 27.13.12 from any other heading,,,0
27.13.20,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to a good of subheading 27.13.20 from any other good within that subheading or any other subheading, provided that the non-originating feedstock of subheading 27.13.20 constitutes no more than 49 percent by volume of the good",,,0
27.13.90,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to subheading 27.13.90 from any other heading, except from heading 27.10 through 27.12, subheading 27.13.11 through 27.13.20 or heading 27.14 through 27.15",,,0
27.14,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.14 from any other heading,,,0
27.15,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes","A change to heading 27.15 from any other heading, except from subheading 27.13.20 or heading 27.14",,,0
27.16,"Mineral Fuels, Mineral Oils and Products of Their Distillation; Bituminous Substances; Mineral Waxes",A change to heading 27.16 from any other heading,,,0
Chapter 28,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes",,,,0
28.01.10-28.53.00,"Inorganic Chemicals; Organic or Inorganic Compounds of Precious Metals, of Rare-Earth Metals, of Radioactive Elements or of Isotopes","A change to subheading 28.01.10 through 28.53.00 from any other subheading, including another heading within that group","No required change in tariff classification to subheading 28.01.10 through 28.53.00, provided there is a regional value content of not less than: (a)40 percent where the transaction value method is used; or (b) 30 percent where the net cost method is used.",,0
Chapter 29,Organic Chemicals,,,,0
29.01.10-29.42.00,Organic Chemicals,"A change to subheading 29.01.10 through 29.42.00 from any other subheading, including another subheading within that group","No required change in tariff classification to subheading 29.01.10 through 29.42.00, except for a good of subheading 29.16.32 whether or not there is also a change from any other subheading, provided there is a regional value content of not less than: (a)40 percent where the transaction value method is used; or (b) 30 percent where the net cost method is used.",,0
Chapter 30,Pharmaceutical Products,,,,0
30.01.20-30.03.90,Pharmaceutical Products,"A change to subheading 30.01.20 through 30.03.90 from any other subheading, including another subheading within that group",,,0
30.04,Pharmaceutical Products,"A change to heading 30.04 from any other heading, except from heading 30.03","No required change in tariff classification to heading 30.04, provided there is a regional value content of not less than: (a)60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
30.05.10-30.05.90,Pharmaceutical Products,A change to subheading 30.05.10 through 30.05.90 from any other heading,"No required change in tariff classification to subheading 30.05.10 through 30.05.90, provided there is a regional value content of not less than: (a)60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
30.06.10-30.06.50,Pharmaceutical Products,"A change to subheading 30.06.10 through 30.06.50 from any other subheading, including another subheading within that group",,,0
30.06.60,Pharmaceutical Products,A change to subheading 30.06.60 from any other heading,"No required change in tariff classification to subheading 30.06.60, provided there is a regional value content of not less than: (a) 60 percent where the transaction value is used; or (b) 50 percent where the net cost method is used.",,0
30.06.70,Pharmaceutical Products,"A change to subheading 30.06.70 from any other chapter, except from Chapter 28 through 38","No required change in tariff classification to subheading 30.06.70, provided there is a regional value content of not less than: (a) 60 percent where the transaction value method is used; or (b) 50 percent where the net cost method is used.",,0
30.06.91-30.06.92,Pharmaceutical Products,"A change to subheading 30.06.91 through 30.06.92 from any other subheading, including another subheading within that group",,,0
Chapter 31,Fertilizers,,,,0
31.01.00-31.05.90,Fertilizers,"A change to subheading 31.01.00 through 31.05.90 from any other good within these subheadings or any other subheading, including another subheading within that group",,,0
Chapter 32,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",,,,0
32.01.10-32.02.90,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to subheading 32.01.10 through 32.02.90 from any other subheading, including another subheading within that group",,,0
32.03,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to heading 32.03 from any other heading,,,0
32.04.11-32.04.90,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to subheading 32.04.11 through 32.04.90 from any other subheading, including another subheading within that group",,,0
32.05.00,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to subheading 32.05.00 from any other subheading,"No required change in tariff classification to subheading 32.05.00, provided there is a regional value content of not less than: (a) 40 percent where the transaction value method is used; or (b) 30 percent where the net cost method is used.",,0
32.06.11-32.06.42,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks","A change to subheading 32.06.11 through 32.06.42 from any other subheading, including another subheading within that group",,,0
32.06.49,"Tanning or Dyeing Extracts; Tannins and Their Derivatives; Dyes, Pigments and Other Colouring Matter; Paints and Varnishes; Putty and Other Mastics; Inks",A change to pigments or preparations based on cadmium compounds of subheading 32.06.49 from any other good of subheading 32.06.49 or any other subheading,A change to pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides) of subheading 32.06.49 from any other good of subheading 32.06.49 or any other subheading,A change to any other good of subheading 32.06.49 from any other subheading.,1
